key,de,en,cs,es,fr,it,nl,sk
add_task,,Add Task,,,,,,
associated_element,,Associated Element,,,,,,
close,,Close,,,,,,
completed,,Completed,,,,,,
completion_date,,Completion Date,,,,,,
delete_selected,,Delete Selected,,,,,,
due_date,,Due Date,,,,,,
priority,,Priority,,,,,,
reset_search,,Reset Search,,,,,,
save,,Save,,,,,,
search,,Search,,,,,,
start_date,,Start Date,,,,,,
task_management,,Task Managment,,,,,,
task_search_form,,Task Search Form,,,,,,
task_manager,,Task Manager,,,,,,
listing,,Listing,,,,,,
settings,,Settings,,,,,,
task_settings,,Task Settings,,,,,,
notification,,Notification,,,,,,
